#{"t_start": 1732944195.6536775, "env_id": "None"}
r,l,t
-36.94217,999,4.302541
-38.824734,999,4.302657
-38.67046,999,4.302691
-36.787174,999,4.302706
-39.943806,999,4.30272
-37.398663,999,4.302733
-41.605587,999,4.302746
-38.321968,999,4.302758
